pros,cons,overall_rating,link,tittle,author,city,state,comment,work_life_balance,compensation_benefits,job_security_advancement,Management,Culture
"[""Traveling""]","[""Benefits""]",3.0,https://www.indeed.com/cmp/US-Nursing/reviews/flexible-scheduling?id=ca9c7dcc908e64c1,Flexible scheduling,Registered Nurse,Chattanooga,TN,It used to be owned and operated by a single owner and at the time I traveled they were the best paying travel company . Then the owner passed away and the company incorporated and now they have it divided up into so many different categories of pay vs benefits that now you pretty much just go with the travel company that can put you in the location you want,4.0,3.0,3.0,3.0,3.0
[],[],4.0,https://www.indeed.com/cmp/US-Nursing/reviews/standard?id=540b40ef0247cc64,Standard,Registered Nurse,Santa Clara,CA,The standard one would expect from any healthcare institution. Culture is congruent with the culture of the city it sits in. Work day is standard. 1234,4.0,4.0,4.0,4.0,4.0
[],[],5.0,https://www.indeed.com/cmp/US-Nursing/reviews/i-love-traveling-assignments?id=cf77773addd230ba,I love traveling assignments,Registered Nurse-TRAVEL,Bronx,NY,"Most assignments were to busy units and when assigned unit was not busy, the travel nurse floated first. Host hospitals were easy to work for, never had any conflict, always had any issues resolved quickly and fairly.",5.0,4.0,4.0,5.0,5.0
"[""my recruiter and the salary was above average.""]",[],5.0,https://www.indeed.com/cmp/US-Nursing/reviews/many-travel-assignments?id=fb586d36347d3eb2,Many travel assignments,Registered Nurse,,,I loved all my temporary travel assignments. Labor and Delivery always had many to choices.,,,,,
"[""Mileage reimbursement, Benefits, Pay rates""]","[""Sometimes a long distance to isolated locations.""]",5.0,https://www.indeed.com/cmp/Registry/reviews/variable-schedules-allowed-to-refuse-certain-assignments?id=e75a55375257b01b,"Variable schedules, Allowed to refuse certain assignments,",Registered Nurse,Chico,CA,"Nurses and Professionals Healthcare is a local registry started by an RN about 1990. Over the years moved from a two room office in Paradise, CA to a large office complex in Chico. I have worked with this agency since 1994 and have enjoyed my experiences.  A typical day involved organizing the different locations around the state that I was assigned to work. My furthest location was 390 miles from home. I learned to be flexible with assignment requirements and was able to rely on office staff to manage housing, reimbursement of expenses, and to handle any emergencies.  I rarely saw any of my registry coworkers at distance sites but were always cordial.  The hardest part was learning new charting programs at different sites; up to four in a week. Developing proficiency in any one program was difficult.  I most enjoyed the scenic drives through the heart of California and seeing many new areas I have never seen.",5.0,5.0,5.0,5.0,5.0
[],[],2.0,https://www.indeed.com/cmp/Registry/reviews/registry-nursing-is-not-recommended?id=c5789c91cf5a9569,Registry Nursing is not recommended,RN,San Jose,CA,"Again, I find these survey questions annoying. I do not like working as a registry nurse and I do not recommend it to any one. You shouldn't bait and switch people on this site.",2.0,2.0,2.0,2.0,2.0
"[""Free continuing education programs""]","[""not much room for advancement in my department""]",3.0,https://www.indeed.com/cmp/Registry/reviews/see-below-for-my-review?id=e81b64417b806560,See below for my review.,RN,Palm Desert,CA,I enjoy working as a nurse and working with an interdisciplinary team of healthcare professionals. A typical day at my present employment includes working with parents of infants in preparation for discharge and providing parents with the tools and skills necessary to succeed.,3.0,3.0,3.0,3.0,3.0
"[""Great co-workers, great medical director, great workload""]","[""only con was Less money for working for no benefits.""]",5.0,https://www.indeed.com/cmp/Registry/reviews/enjoyable-atmosphere-to-work-in-good-relationships-with-coworkers-doctors-and-clients?id=cace1cb2cc47892c,"Enjoyable atmosphere to work in; good relationships with coworkers, doctors, and clients",Staff RN,West TN Healthcare in Jackson,TN,"I worked in Occupational Medicine/Employee Health. We were responsible for giving and reading all employee TB skin tests as well as other immunizations that were needed for work. Our department was also contracted with some local business to do physical assessments and drug screens on their prospective hires. I enjoyed learning the proper way to do a physical assessment. Finding out everything that is involved in doing a drug screen Correctly was very interesting - and finding out the ways people would try to get around it! I always enjoyed my co-workers. Many of us had known each other and worked together in other areas of the hospital for years. I enjoyed everything about the job, including the boss. I think the hardest part of the job was the pay. They were not of the mindset that your pay should be More than average if you are not receiving benefits. As a result, the pay was lower than a new nurse coming in. But I still loved it - fantastic working environment. Miss it.",5.0,3.0,3.0,5.0,5.0
"[""salaries/wages are paid on time""]","[""there is no job security and benefits""]",4.0,https://www.indeed.com/cmp/Registry/reviews/good-place-to-work-for-enrtry-level?id=c6a6cfe506b3cb30,good place to work for enrtry level,Staff Nurse,Schaumburg,IL,"It is a staffing and caregiving agency. There is no job security. When your patient dies, you lose your job and would wait for days and months before you are given another assignment.",4.0,1.0,2.0,3.0,3.0
[],[],4.0,https://www.indeed.com/cmp/US-Nursing/reviews/rapid-response-healthcare-staffing-therefore-inconsistent-opportunities-available-however-when-opportunities-avail-themselves-this-company-does-is-go?id=9d77dfffabd60a7e,Rapid response healthcare staffing therefore inconsistent opportunities available. However when opportunities avail themselves this company does is go,"Emergency Department, Registered Nurse Emergency",Vacaville,CA,I would recommend this company. This company opportunities include rapid responses and short term positions. The company is a responsive employer however can become chaotic during employment for an assignment. This company is constantly tweaking to make the onboarding process more efficient and user-friendly.,3.0,5.0,4.0,4.0,4.0
[],[],1.0,https://www.indeed.com/cmp/US-Nursing/reviews/unorganized?id=99bd778df1d6c27e,Unorganized,Staff Nurse,,,The company is very unorganized. The company lacks communication among each other. Multiple calls from different agents stating contradictory information pertaining to the same subject.,1.0,3.0,1.0,1.0,1.0
"[""Work every day with mandatory OT""]","[""Lots.""]",1.0,https://www.indeed.com/cmp/US-Nursing/reviews/no-job-security-and-you-work-your-butt-off?id=32d7a7c7378b6914,No job security and you work your butt off.,RN Staff Nurse,Denver,CO,"It was good way back in the day, but no loyalty now. The on-site manager was known to send people home if she didn’t like them and you could never go to them with issues. Shift assignments went to their pets and you were randomly mandated to take a day off if they brought too many people in.",1.0,3.0,1.0,1.0,1.0
"[""Traveling""]","[""Benefits""]",3.0,https://www.indeed.com/cmp/US-Nursing/reviews/flexible-scheduling?id=ca9c7dcc908e64c1,Flexible scheduling,Registered Nurse,Chattanooga,TN,It used to be owned and operated by a single owner and at the time I traveled they were the best paying travel company . Then the owner passed away and the company incorporated and now they have it divided up into so many different categories of pay vs benefits that now you pretty much just go with the travel company that can put you in the location you want,4.0,3.0,3.0,3.0,3.0
[],[],4.0,https://www.indeed.com/cmp/US-Nursing/reviews/standard?id=540b40ef0247cc64,Standard,Registered Nurse,Santa Clara,CA,The standard one would expect from any healthcare institution. Culture is congruent with the culture of the city it sits in. Work day is standard. 1234,4.0,4.0,4.0,4.0,4.0
[],[],5.0,https://www.indeed.com/cmp/US-Nursing/reviews/i-love-traveling-assignments?id=cf77773addd230ba,I love traveling assignments,Registered Nurse-TRAVEL,Bronx,NY,"Most assignments were to busy units and when assigned unit was not busy, the travel nurse floated first. Host hospitals were easy to work for, never had any conflict, always had any issues resolved quickly and fairly.",5.0,4.0,4.0,5.0,5.0
"[""my recruiter and the salary was above average.""]",[],5.0,https://www.indeed.com/cmp/US-Nursing/reviews/many-travel-assignments?id=fb586d36347d3eb2,Many travel assignments,Registered Nurse,,,I loved all my temporary travel assignments. Labor and Delivery always had many to choices.,,,,,
"[""Mileage reimbursement, Benefits, Pay rates""]","[""Sometimes a long distance to isolated locations.""]",5.0,https://www.indeed.com/cmp/Registry/reviews/variable-schedules-allowed-to-refuse-certain-assignments?id=e75a55375257b01b,"Variable schedules, Allowed to refuse certain assignments,",Registered Nurse,Chico,CA,"Nurses and Professionals Healthcare is a local registry started by an RN about 1990. Over the years moved from a two room office in Paradise, CA to a large office complex in Chico. I have worked with this agency since 1994 and have enjoyed my experiences.  A typical day involved organizing the different locations around the state that I was assigned to work. My furthest location was 390 miles from home. I learned to be flexible with assignment requirements and was able to rely on office staff to manage housing, reimbursement of expenses, and to handle any emergencies.  I rarely saw any of my registry coworkers at distance sites but were always cordial.  The hardest part was learning new charting programs at different sites; up to four in a week. Developing proficiency in any one program was difficult.  I most enjoyed the scenic drives through the heart of California and seeing many new areas I have never seen.",5.0,5.0,5.0,5.0,5.0
[],[],2.0,https://www.indeed.com/cmp/Registry/reviews/registry-nursing-is-not-recommended?id=c5789c91cf5a9569,Registry Nursing is not recommended,RN,San Jose,CA,"Again, I find these survey questions annoying. I do not like working as a registry nurse and I do not recommend it to any one. You shouldn't bait and switch people on this site.",2.0,2.0,2.0,2.0,2.0
"[""Free continuing education programs""]","[""not much room for advancement in my department""]",3.0,https://www.indeed.com/cmp/Registry/reviews/see-below-for-my-review?id=e81b64417b806560,See below for my review.,RN,Palm Desert,CA,I enjoy working as a nurse and working with an interdisciplinary team of healthcare professionals. A typical day at my present employment includes working with parents of infants in preparation for discharge and providing parents with the tools and skills necessary to succeed.,3.0,3.0,3.0,3.0,3.0
"[""Great co-workers, great medical director, great workload""]","[""only con was Less money for working for no benefits.""]",5.0,https://www.indeed.com/cmp/Registry/reviews/enjoyable-atmosphere-to-work-in-good-relationships-with-coworkers-doctors-and-clients?id=cace1cb2cc47892c,"Enjoyable atmosphere to work in; good relationships with coworkers, doctors, and clients",Staff RN,West TN Healthcare in Jackson,TN,"I worked in Occupational Medicine/Employee Health. We were responsible for giving and reading all employee TB skin tests as well as other immunizations that were needed for work. Our department was also contracted with some local business to do physical assessments and drug screens on their prospective hires. I enjoyed learning the proper way to do a physical assessment. Finding out everything that is involved in doing a drug screen Correctly was very interesting - and finding out the ways people would try to get around it! I always enjoyed my co-workers. Many of us had known each other and worked together in other areas of the hospital for years. I enjoyed everything about the job, including the boss. I think the hardest part of the job was the pay. They were not of the mindset that your pay should be More than average if you are not receiving benefits. As a result, the pay was lower than a new nurse coming in. But I still loved it - fantastic working environment. Miss it.",5.0,3.0,3.0,5.0,5.0
"[""salaries/wages are paid on time""]","[""there is no job security and benefits""]",4.0,https://www.indeed.com/cmp/Registry/reviews/good-place-to-work-for-enrtry-level?id=c6a6cfe506b3cb30,good place to work for enrtry level,Staff Nurse,Schaumburg,IL,"It is a staffing and caregiving agency. There is no job security. When your patient dies, you lose your job and would wait for days and months before you are given another assignment.",4.0,1.0,2.0,3.0,3.0
"[""Opportunity for overtime""]","[""Pet friendly housing availability""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-working-assignment?id=d04113ebdc4a2150,Good working Assignment,RN Travel Nurse,Winchester,VA,"Flexible hours and excellent pay. Opportunity to meet great people. Travel to New areas and learn more about Healthcare. Great Opportunity for overtime, pet friendly housing included.",5.0,5.0,5.0,5.0,5.0
[],[],1.0,https://www.indeed.com/cmp/Rnnetwork/reviews/lies?id=535d87c48522a2cb,Lies,RN Travel Nurse,Toledo,OH,They “promised” Covid pay in the contract but it was not paid. I was a counselor to my recruiter. When I got Covid I was let go from my contract after working 2 extra days almost weekly.,3.0,3.0,1.0,1.0,1.0
"[""Travel""]","[""Creditialing, low pay""]",2.0,https://www.indeed.com/cmp/Rnnetwork/reviews/creditialing?id=7ce67e43fd6178f2,Creditialing,Registered Nurse,Boca Raton,FL,No smooth process. Multi submission of documents due to system issues. Difficult to complete if you have to speak to a different person each time. Errors made by associates. Low pay on contracts.,3.0,2.0,1.0,1.0,1.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/productive?id=57be90e4141b4767,Productive,RN Staff Nurse,Houston,TX,I have enjoyed my time there. Management is good and pays attention to your needs. I feel valued as an employee bug wish work life balance was better.,,,,,
[],[],1.0,https://www.indeed.com/cmp/Rnnetwork/reviews/horrible-people-that-doesn-t-care-about-their-staff?id=ddc2259b0cb81477,Horrible people that doesn't care about their staff,RN,,,Worst place to work. They don't care about you and will stiff you of your pay. Wasted my time to go work for them and I was never paid. Horrible experience for me. Put me off travel nursing.,1.0,1.0,1.0,1.0,1.0
"[""Pay""]","[""Healthcare""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/great-pay-great-recruiter?id=5e7af56dddce4725,"great pay, great recruiter",RN,Tampa,FL,"I really love working here, I love my recruiter who works hard to get contracts for me that suit my needs. I wish there were more available contracts.",4.0,5.0,3.0,5.0,5.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/amazing-travel-company?id=14eb0de9cad76e5a,Amazing travel company,RN,Boca Raton,FL,"I have completed 6 travel assignments with them. My recruiter has been awesome, all other supportive staff has been amazing. No payroll issues, checks have been on time and correct for each assignment.",5.0,5.0,4.0,5.0,5.0
[],[],1.0,https://www.indeed.com/cmp/Rnnetwork/reviews/worst-travel-agency?id=2691452457201e0d,Worst travel agency,RN,Toledo,OH,This is the worst agency I’ve ever had a contract with — poor communication and zero support. My contract ended in 2020 and I am STILL upset about the whole experience. AVOID!,1.0,1.0,1.0,1.0,1.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/overall-good-experience?id=bc85571c5bc9960b,Overall good experience,Registered Nurse,,,Overall good experience on multiple assignments. My recruiter was very responsive and had a good working relationship. Had one bad experience on one assignment and wasn’t well supported by company.,4.0,4.0,3.0,3.0,3.0
"[""Paychecks on time, no issues, very straightforward.""]","[""N/a""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/my-recruiter-was-respectful-and-answered-all-questions-worked-with-them-for-a-year-paychecks-are-always-on-time-had-no-issues-at-any-of-my-jobs?id=c893edda9461ec11,"My recruiter was respectful and answered all questions. Worked with them for a year. Paychecks are always on time, had no issues at any of my jobs",RN,,,"My recruiter was respectful and answered all questions. Worked with them for a year. Paychecks are always on time, had no issues at any of my jobs. Very responsive you can always reach someone.",5.0,5.0,3.0,5.0,3.0
"[""I can't think of any""]","[""Lack of recruiter support when issues came up.""]",3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/i-can-t-think-if-anything-that-stands-out-benefits-are-not-as-plentiful-as-other-companies?id=fa279875c10e9eba,I can't think if anything that stands out. Benefits are not as plentiful as other companies,RN Travel Nurse,Well Care,Wilmington,Did not feel my recruiter stood up for me when needed and allowed me to be transferred from the original contract area to another area without asking if I wanted to go to the new area. An issue came up while working with this company and I didnt feel as though I had any back up.,3.0,3.0,2.0,2.0,2.0
[],[],2.0,https://www.indeed.com/cmp/Rnnetwork/reviews/you-have-to-stay-on-top-of-recruiter?id=9384478ec5f7c242,You have to stay on top of recruiter...,Registered Nurse,Greater Cleveland,Found that had to frequently direct and then redirect recruiter in obtaining placements and answers.  Be careful. They ask you to pay for things up front and say they will will reimburse you sometimes over $300 up front prior to working things and when say no they continue to ask you to pay saying will be reimbursed. Say they cover expenses to get ready for the job Such as drug testing and vaccinations. Was told needed a current vaccination that had they told me 2 days earlier could have gotten at doctor office when there but as such would have had to make another appointment so while getting drug tested and fit tested was given vaccine and theythen come back and say that not covering that so they end up taking it out of paycheck.  Management is so so.  Poor turn around on answering questions answered.,2.0,2.0,2.0,1.0,1.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-communication?id=8400b3ab1ed03072,Good communication,Registered Nurse,Salisbury,MD,Staff will work with you to get the assignment and compensation you desire. Very organized and responsive. Staff is friendly and always willing to answer questions.,3.0,5.0,5.0,5.0,5.0
"[""Several job and location choices""]","[""No loyalty, take money away if you miss a day of work, too much overhead staff""]",1.0,https://www.indeed.com/cmp/Rnnetwork/reviews/they-don-t-have-your-back-but-always-side-with-the-company-you-re-currently-working-at-if-something-goes-wrong?id=7b2770be6ab9185a,They don’t have your back but always side with the company you’re currently working at if something goes wrong,Registered Nurse,,,"They don’t have their employees backs whenever the company you’re working at tells blatant lies, you get physically attacked by a pt and they drop you like a hot potato! They take money away from your pay if you miss a day of work even though we already don’t get paid since we have no sick day pay. They have way too many hands in the cookie jar that with every assignment your core team always changes!!",1.0,2.0,3.0,1.0,2.0
[],[],4.0,https://www.indeed.com/cmp/Rnnetwork/reviews/have-completed-a-few-travel-assignement-and-did-not-have-a-problem?id=74a5df774ebb0635,Have completed a few travel assignement and did not have a problem.,RN,,,"Work-life balance Work-life balance at RNnetwork is travel nursing contract negotiations  Management In general, managers at RNnetwork easy to communicate with",4.0,4.0,4.0,4.0,4.0
[],[],4.0,https://www.indeed.com/cmp/Rnnetwork/reviews/my-recruiter-was-great?id=9db9b230e54d717b,My recruiter was great,RN,Boca Raton,FL,My recruiter looked out for me and my interests. She would call and check on me to make sure everything was doing ok. The only complaint I had was that the hospital canceled my contract with no warning and RN network did not offer any compensation for my immediate loss of work,4.0,4.0,3.0,4.0,4.0
"[""24/7 support""]","[""Changes in ancillary staff not being communicated in timely manner.""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/traveler-support-services-are-changing-i-have-a-great-relationship-with-my-recruiter-and-am-very-happy?id=db2afc7807f84af5,Traveler support services are changing. I have a great relationship with my recruiter and am very happy.,RN Travel Nurse,Tulsa,OK,"Travel nurses need support services that they can count on, I have been pleased with the results. My recruiter has been great fun and great at her job.",4.0,4.0,3.0,2.0,4.0
[],[],2.0,https://www.indeed.com/cmp/Rnnetwork/reviews/if-you-dont-mind-working-alone-and-like-to-travel-this-job-is-for-you?id=2c49fdae11189f4c,"If you dont mind working alone, and like to travel - this job is for you.",RN,Boca Raton,FL,Typical day at work depends on what area of facility/hospital you work in. You will learn how travel nurses are received at a facility. Management changes hands with your shift schedules. Workplace culture is great.,3.0,2.0,1.0,1.0,2.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/great-experience-great-company?id=7a3dca7c4b306b3f,Great experience! Great company!,Registered Nurse,Boca Raton,FL,"RNnetwork is a travel nurse agency with great benefits and insurance. Part of my review is skewed because it’s having to evaluate where I’ve worked which RNNetwork has no control, as they found me an assignment and place to work so things like making me feel inclusive, or management isn’t totally about RNnetwork but where I was assigned. RNnetwork is a great company and I thoroughly enjoyed working with them. They were always there for me when I needed them.",4.0,4.0,4.0,4.0,4.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/decent-recruiters?id=2b966e9e891b028e,Decent recruiters,Traveling Registered Nurse,Boca Raton,FL,"Good people to work for. Recruiters are good and try to get you decent pay packages. Travel nursing as a whole is going downhill, but some companies try to make the most of it still.",2.0,2.0,3.0,3.0,3.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/it-was-ok?id=b24cf916ec9673e8,It was ok.,RN,,,I think my recruiter could have been more support at the time. I understand they need to get people into the job but during this time they should have been more support to the employee,3.0,3.0,2.0,1.0,2.0
"[""Opportunity for overtime""]","[""Pet friendly housing availability""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-working-assignment?id=d04113ebdc4a2150,Good working Assignment,RN Travel Nurse,Winchester,VA,"Flexible hours and excellent pay. Opportunity to meet great people. Travel to New areas and learn more about Healthcare. Great Opportunity for overtime, pet friendly housing included.",5.0,5.0,5.0,5.0,5.0
"[""Pay check is timely""]","[""I worked for a facility with poor conditions""]",2.0,https://www.indeed.com/cmp/Rnnetwork/reviews/well?id=48db3db4fa71398c,Well.,REGISTERED PROFESSIONAL NURSE,,,"The company doesn’t do the work for you. You have to do all the connecting by yourself ( I. E. the license, the room and board, the drug and health screening and the actual job), as the company is not local; they just pay you. In some cases, you have to find your own work. If you happen to allow them to hook up room and transportation, make sure you have ( or they provide you with) a reliable way of getting to work; it could 30 miles away from where you live! ....🙄😕.",3.0,3.0,2.0,1.0,2.0
"[""Excellent tips if needed.""]",[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/would-certainly-work-there-again-if-decided-to-travel?id=1fe5c71b5e4e1486,Would certainly work there again if decided to travel.,Registered Nurse,Boca Raton,FL,"Excellent place to work. Help was readily available when needed. My resource person was easy to get in contact with, and provided valuable insight to a potential problem.",5.0,5.0,5.0,5.0,4.0
[],[],1.0,https://www.indeed.com/cmp/Rnnetwork/reviews/very-sad-environment?id=2054898ffe2d70ee,Very sad environment,RN Staff,Nashville,TN,"They never support their workers, it has been the worse experience in my life. I can't say anything good about this Company . Every time I had a concern, nobody gave me answers",1.0,1.0,1.0,1.0,1.0
"[""travel, good money""]","[""away from home for months""]",4.0,https://www.indeed.com/cmp/Rnnetwork/reviews/working-for-rn-network-was-a-great-experience?id=73e1d1427697e055,working for RN Network was a great experience,RN Staff Nurse/traveler,Boca Raton,FL,I worked with RN network as a traveler to different areas of the country. I never went to the actual office in Florida. Spoke with them on the phone often and had a recruiter that worked closely with me and was always there for me.,5.0,4.0,4.0,4.0,4.0
"[""medical, dental and vision coverage""]","[""couldnt always reach benefits persons or recruiter""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/staff-works-hard-to-get-you-hired?id=c7193ddf255b06dc,staff works hard to get you hired,RN,Boca Raton,FL,"staff works hard to get you hired. working at different facilities on a frequent basis gives you the opportunity to learn about new medical issues - equipment, care of specialty patients, other ancillary staff, new MD interns. Must be able to navigate in any new city they send you to and find your own accomidations if necessary. Must provide some of your own equipment to perform daily duties - O2 sat probe, stethoscope, pill cutter, pill crusher, vein finder if affordable.",5.0,5.0,2.0,4.0,3.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-work?id=90f245ab1a35b403,Good work,Registered Nurse,Boca Raton,FL,Solid travel company doing the best they can to offer contracts in a variety of locations with moderate pay for market competition. Recruiters are hospitable and truly care that you are happy.,5.0,5.0,5.0,5.0,5.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/na?id=5035240810b487c4,na,Registered Nurse,,,"nice company to work for. pay was great..staff members were helpful. RN network help me build my skills to become a better nurse. if I had to choose them again, I will.",5.0,5.0,5.0,5.0,5.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/good-company?id=031ec4bd340622bf,Good company,STAFF RN,Boca Raton,FL,Helps you get established in your field when you are new to the area. Everyone was very helpful and nice to work with during my transition of employment.,3.0,3.0,3.0,3.0,3.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/exciting-adventure?id=528da06f372374a7,Exciting adventure,Staff Nurse,,,"Traveling was truly and adventure. Management worked with what you were looking for, housing was always great and assignments were fun and adventurous. Areas always had a lot of things to do when not working.",5.0,5.0,5.0,5.0,5.0
[],[],3.0,https://www.indeed.com/cmp/Rnnetwork/reviews/travel-agency-work?id=235288c12ea9767f,Travel agency work,Registered Nurse,Boca Raton,FL,"Working with this travel agency was nice, my recruiter was great and handled everything in a professional manner. The travel agency found work in areas that I requested.",3.0,3.0,3.0,3.0,3.0
"[""Pay, benefits""]","[""Traveling""]",4.0,https://www.indeed.com/cmp/Rnnetwork/reviews/a-personal-and-professional-company-with-respect-for-the-staff?id=eef48eeb73efb81f,A personal and professional company with respect for the staff.,Registered Nurse,Edmond,OK,"I worked as an Acute Dialysis Nurse and the job is unpredictable as expected, many times extremely log days. It was very difficult achieving a balance with other aspects of life. The people were respectful, available and willing to work out any job related issue. The most enjoyable part of my job was the patient care and ease in working with FMS staff.",4.0,4.0,4.0,4.0,4.0
[],[],4.0,https://www.indeed.com/cmp/Rnnetwork/reviews/nice-company-to-work-for?id=66fba6d6599cf578,Nice company to work for,Registered Nurse,Greenville,SC,"Great people to work for, assignments were easy to set up, no problems with getting paid or renewing contracts. would recommend this travel company for traveling",,,,,
"[""Always supportive & day one benefits""]","[""Have \""in service\"" assignments without compensation.""]",5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/caring-team-of-employees?id=462345109169bb0d,Caring team of employees,RN,Boca Raton,FL,All the employees are helpful & make it about the nurses. I always have the info required for my next location. Supportive all through the contract. enjoyed it.,4.0,5.0,4.0,4.0,5.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/very-professional?id=19f4f239d4f20eba,Very Professional,RN,,,Very productive at job placement. Recruiters treat nurses like family. Staff is easily available and returns calls promptly. Strives to find the best jobs with high pay rates,5.0,5.0,5.0,5.0,5.0
[],[],5.0,https://www.indeed.com/cmp/Rnnetwork/reviews/very-good-place-to-work-as-a-travel-nurse?id=053223a446ba4fcf,Very good place to work as a travel nurse,RN,Boca Raton,FL,RN network is always on top of things; some one is always available for help; good & very up beat people at RN Network; benifits are good along with the housing,5.0,5.0,5.0,5.0,4.0
